SubTask,Instruction,molecule
MR,Please modify the molecule CCCCOc1c[nH]c(CNC(=O)CCC(=O)[O-])cc1=O to increase its MR value.,CC(=O)c1ccc2cc1C=NC1CCCCC1N=Cc1cc(ccc1O)OCCOc1ccc(O)c(c1)C=NC1CCCCC1N=Cc1cc(ccc1O)OCCO2
QED,Please optimize the molecule Cc1ccc(C(O)c2scnc2Br)c(Br)c1 to have a lower QED value.,CC(=O)c1cnc(COc2ccccc2)nc1C(=O)[O-]
LogP,Please optimize the molecule CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NC(=O)N3CCC(CC(=O)[O-])CC3)no2)cc1C#N to have a higher LogP value.,CC(C)Oc1ccc(-c2nc(-c3cccc4c3CCC4NC(=O)N3CCC(CC(=O)[O-])CC3)no2)cc1
MR,Modify the molecule Oc1ccc2cc1C=NC1CCCCC1N=Cc1cc(ccc1O)OCCOc1ccc(O)c(c1)C=NC1CCCCC1N=Cc1cc(ccc1O)OCCO2 to increase its MR value.,Bc1c(O)nn2c(NCC3CCCN(S(=O)(=O)c4cc(F)cc(F)c4)C3)cc(-c3ccccc3N)nc12
QED,Please modify the molecule CC(=O)c1cnc(COc2ccccc2F)nc1C(=O)[O-] to decrease its QED value.,CC(=O)c1cnc(COc2ccccc2)nc1C(=O)[O-]
LogP,Optimize the molecule N#Cc1sc(N2CCN(C3C[NH2+]C3)CC2)nc1Cl to have a lower LogP value.,N#Cc1cnc(N2CCN(C3C[NH2+]C3)CC2)s1
MR,Optimize the molecule Bc1cnn2c(NCC3CCCN(S(=O)(=O)c4cc(F)cc(F)c4)C3)cc(-c3ccccc3N)nc12 to have a higher MR value.,Bc1c(O)nn2c(NCC3CCCN(S(=O)(=O)c4cc(F)cc(F)c4)C3)cc(-c3ccccc3N)nc12
QED,Modify the molecule CCC(C)(C([NH3+])Cc1sccc1Br)N(C)C to decrease its QED value.,CCC(C)(C([NH3+])Cc1sccc1C(=O)[OH])N(C)C
LogP,Please modify the molecule C[NH2+]C(C)C(=O)NC(C[NH+]1CCCC1CN(CCc1ccc(F)cc1)C(=O)c1cn2cc(N)ccc2[nH+]1)C(C)(C)C to increase its LogP value.,C[NH2+]CC(C[NH+]1CCCC1CN(CCc1ccc(F)cc1)C(=O)c1cn2cc(N)ccc2[nH+]1)C(C)(C)C
MR,Modify the molecule C=C1C(=O)C(c2cnc(C)cc2C2C=C(O)C(=O)C2=O)=C1[O-] to have a lower MR value.,C=C1C(=O)C(c2cnc(C)cc2C2C=CC(=O)C2=O)=C1[O-]
QED,Please modify the molecule CC(=O)N1CC(Nc2cc(NC3CCC([NH3+])CC3)nn3c(C(=O)Nc4ccncc4F)c[nH+]c23)C1 to decrease its QED value.,CC(=O)N1CC(Nc2cc(NC3CCC([NH3+])CC3)nn3c(C(=O)Nc4ccncc4NO)c[nH+]c23)C1
LogP,Please modify the molecule CCCC[NH+]=C(N)NCC[NH+]1CCN(CC)CC1 to increase its LogP value.,CC(C)(C)c1c(O)cccc1Oc1ncccc1Nc1nc2c(NC(=O)C3CC3)cccc2o1
MR,Please optimize the molecule Cc1ccc(Cc2cc3c(c(F)c2Cl)OCN(C2CCCC2O)C3=O)cn1 to have a higher MR value.,Cc1ccc(Cc2cc3c(c(S)c2Cl)OCN(C2CCCC2O)C3=O)cn1
QED,Optimize the molecule CNC(=O)c1ccc(C=CC(=O)N(C)CC(O)C2CC2)cc1 to have a lower QED value.,CNC(=O)C=CC(=O)N(C)CC(O)C1CC1
LogP,Modify the molecule CC(C)(C)c1ccccc1Oc1ncccc1Nc1nc2c(NC(=O)C3CC3)cccc2o1 to have a lower LogP value.,CC(C)(C)c1c(O)cccc1Oc1ncccc1Nc1nc2c(NC(=O)C3CC3)cccc2o1
MR,Modify the molecule CC[NH2+]C1CC(OCC(F)F)C12CCCC2 to have a higher MR value.,CC[NH2+]C1CC(OCC(F)F)C12CCC(C(=O)O)C2
QED,Modify the molecule O=S(=O)(c1ccc(F)cc1)c1nc(-c2ccccc2)oc1NCc1ccc(F)cc1 to increase its QED value.,O=S(=O)(c1ccc(F)cc1)c1nc(-c2ccccc2)oc1NCF
LogP,Please optimize the molecule COc1cc2c(cc1OC)C([NH3+])(C1CC[NH+](Cc3c(OCC[NH+](C)C)cccc3N(C)C)CC1)NC(=[NH+]Cc1ncc[nH]1)N2 to have a lower LogP value.,CC([NH3+])CN(C)c1cc(=O)nc[nH]1
MR,Modify the molecule CCNC(NCC1CCCOC1c1ccc(C)cc1)=[NH+]Cc1ccc(OC)cc1OC to increase its MR value.,CCNC(NC(c1ccccc1)C1CCCOC1c1ccc(C)cc1)=[NH+]Cc1ccc(OC)cc1OC
QED,Modify the molecule COc1ccc2nc(-c3ccc(O)c(Br)c3)[nH]c2c1 to have a higher QED value.,COc1ccc2nc(-c3ccc(C(=O)[OH])c(Br)c3)[nH]c2c1
LogP,Modify the molecule CC([NH3+])CN(C)c1[nH]cnc(=O)c1N to have a higher LogP value.,CC([NH3+])CN(C)c1cc(=O)nc[nH]1
MR,Optimize the molecule Nc1occ(-c2ccc3c(c2)OCCO3)c1-c1cccs1 to have a lower MR value.,c1csc(-c2cocc2-c2ccc3c(c2)OCCO3)c1
QED,Modify the molecule CC[NH+](CC(=O)[O-])C1CC(NC(=O)N2CCC(Cc3ccccc3F)CC2)C1 to decrease its QED value.,Cc1nn(-c2ccc(O)cc2)c(C)c1C(=O)NCC1CCCO1
LogP,Please optimize the molecule COC(=O)CCc1c(CCOS(=O)(=O)c2ccc(C)cc2)ccc2c1CCC(NS(=O)(=O)c1ccc(Cl)cc1)C2 to have a lower LogP value.,COC(=O)CCc1c(CCOS(=O)(=O)c2ccc(C)cc2)ccc2c1CCC(NS(=O)(=O)Cl)C2
MR,Please modify the molecule CCNc1nc(N2CCCC2C)nc(-n2ccnc2)n1 to increase its MR value.,Sc1c(-n2c3ccccc3c3c2ccc2c4ccccc4n(-c4ccccc4)c23)cncc1-n1c2ccccc2c2c1ccc1c3ccccc3n(-c3ccccc3)c12
QED,Modify the molecule Cc1nn(-c2ccc(F)cc2)c(C)c1C(=O)NCC1CCCO1 to have a lower QED value.,Cc1nn(-c2ccc(O)cc2)c(C)c1C(=O)NCC1CCCO1
LogP,Modify the molecule O=C(c1ccccc1F)N1C(COCc2ccccc2)C=CCS1(=O)=O to decrease its LogP value.,Cc1cccc(S(c2cccc(C)c2C)=P(O)(S)C#N)c1C
MR,Please modify the molecule N#Cc1c(-n2c3ccccc3c3c2ccc2c4ccccc4n(-c4ccccc4)c23)cncc1-n1c2ccccc2c2c1ccc1c3ccccc3n(-c3ccccc3)c12 to increase its MR value.,Sc1c(-n2c3ccccc3c3c2ccc2c4ccccc4n(-c4ccccc4)c23)cncc1-n1c2ccccc2c2c1ccc1c3ccccc3n(-c3ccccc3)c12
QED,Modify the molecule COc1c(NCC2CCC[NH+](C)C2)[nH]cnc1=O to have a higher QED value.,COc1c(CC2CCC[NH+](C)C2)[nH]cnc1=O
LogP,Please modify the molecule Cc1cccc(S(c2cccc(C)c2C)=P(O)(O)S)c1C to increase its LogP value.,Cc1cccc(S(c2cccc(C)c2C)=P(O)(S)C#N)c1C
MR,Modify the molecule CC[NH+](CC)CCNc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(O)COc1cccc(C)c1 to decrease its MR value.,CC[NH+](CC)CCc1nc2c(c(=O)n(C)c(=O)n2C)n1CC(O)COc1cccc(C)c1
QED,Modify the molecule O=[S+]([O-])(Nc1cccnc1)c1ccc2c(c1)OCC[NH+](Cc1ccncc1F)C2 to have a lower QED value.,ONc1cnccc1C[NH+]1CCOc2cc([S+](=O)([O-])Nc3cccnc3)ccc2C1
LogP,Please modify the molecule CC(C)(Nc1ccc2c(n1)CCCC2)C(=O)[O-] to increase its LogP value.,CC(C)(C(=O)[O-])c1ccc2c(n1)CCCC2
MR,Modify the molecule Cc1cc(C)c2c(c1)CC(O)(C[NH3+])CO2 to have a lower MR value.,Cc1cc(C)c2c(c1)CC(C[NH3+])CO2
QED,Modify the molecule CC(C)[NH2+]Cc1cccc(Br)c1OCc1ncccn1 to decrease its QED value.,CC(C)[NH2+]C(Br)OCc1ncccn1
LogP,Optimize the molecule CCON=Cc1cc(Cl)ccc1OC(=O)NC to have a lower LogP value.,CCON=Cc1cc(C(=O)[OH])ccc1OC(=O)NC
MR,Please optimize the molecule CCc1cc(C(O)C(=O)OC)c(F)cc1F to have a higher MR value.,CCc1cc(C(O)(C(=O)O)C(=O)OC)c(F)cc1F
QED,Please modify the molecule CC(C)(C)OC(=O)N1CC(C(C)(C)Oc2cc(F)cc3c2cnn3C2CCCCO2)C1 to decrease its QED value.,CC(C)(C)OC(=O)N1CC(C(C)(C)Oc2c(CC=O)c(F)cc3c2cnn3C2CCCCO2)C1
LogP,Optimize the molecule COc1cc(C=CC(=O)Nc2cc(S(C)(=O)=O)ccc2C)cc(Cl)c1OC(C)C to have a lower LogP value.,COc1cc(C=CC(=O)Nc2cc(S(C)(=O)=O)ccc2C)cc(S)c1OC(C)C
MR,Modify the molecule COc1cc(Cl)c(-n2c(=O)n(CCO)c3cccnc32)cc1OCc1c(OC)ccc(F)c1F to increase its MR value.,COc1cc(Cl)c(-n2c(=O)n(CCO)c3cccnc32)cc1OCc1c(F)c(F)cc(N)c1OC
QED,Modify the molecule Cc1ccccc1NS(=O)(=O)c1cccc2c(N(C)C)cccc12 to increase its QED value.,CNS(=O)(=O)c1cccc2c(N(C)C)cccc12
LogP,Optimize the molecule ClCc1noc(C2CCC3CCCCC3C2)n1 to have a lower LogP value.,CCO[Si](CCCCCN[Si](C(C)C)(C(C)C)C(C)C)OCC
MR,Please optimize the molecule COc1nccnc1C=CB(O)O to have a lower MR value.,COc1nccnc1C=CBO
QED,Modify the molecule CCC(CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)C1CCC(C)C(Sc2ccccc2)O1 to increase its QED value.,CCC(CO[Si](c1ccccc1)(c1ccccc1)C(C)(C)C)C1CCC(C)C(S)O1
LogP,Please optimize the molecule CCO[Si](CCCCCN(c1ccccc1)[Si](C(C)C)(C(C)C)C(C)C)OCC to have a lower LogP value.,CCO[Si](CCCCCN[Si](C(C)C)(C(C)C)C(C)C)OCC
MR,Please modify the molecule COc1cc(COS(C)(=O)=O)cc(OC)c1OC to increase its MR value.,COc1cc(COS(=O)(=O)CO)cc(OC)c1OC
QED,Please optimize the molecule CC1COCCN1c1cc(CS(=O)(=O)C2CC2)nc(-c2ccc(NC(=O)Oc3ccccc3)cc2)n1 to have a higher QED value.,CC1COCCN1c1cc(CS(=O)(=O)C2CC2)nc(NC(=O)Oc2ccccc2)n1
LogP,Please modify the molecule Cc1csc(C(O)c2cncc3ccccc23)c1Cl to decrease its LogP value.,Cc1csc(C(O)c2cncc3ccccc23)c1
MR,Modify the molecule CCCCC(=O)CC1c2cc(OC)ccc2CCN1c1ccccc1 to decrease its MR value.,CCCCC(=O)CC1NCCc2ccc(OC)cc21
QED,Modify the molecule O=C(c1nc(Cl)ccc1Cl)N1CCCSCC1 to have a higher QED value.,CCCCCCCCC1CCC(C2CC=C(CC(F)F)CC2)CC1
LogP,Modify the molecule OC(c1cc2cccc(F)c2o1)c1ncc(Cl)cc1Cl to have a lower LogP value.,COc1cc(C=C2SC(=O)N(CC(=O)N3CCCCC(O)C3)C2=O)cc(I)c1OCc1ccc(I)cc1
MR,Please optimize the molecule [NH3+]CC(F)(c1cccc(C2CCC2)c1)C1CC1 to have a higher MR value.,O=C([O-])C1CCN(c2ccccn2)C(c2ccccc2)(c2cccc(F)c2F)C1
QED,Please optimize the molecule CCCCCCCCC1CCC(C2CC=C(CCc3ccc(F)c(F)c3)CC2)CC1 to have a higher QED value.,CC(=O)c1cccc(NC2=[NH+]C(=O)C(=Cc3ccc(C)n3-c3ccc(OC)cc3)S2)c1C
LogP,Please modify the molecule COc1cc(C=C2SC(=O)N(CC(=O)N3CCCCCC3)C2=O)cc(I)c1OCc1ccc(I)cc1 to decrease its LogP value.,Fc1ccccc1N1CCCC2(CCOCC2)C1
MR,Modify the molecule O=C([O-])C1CCN(c2ccccn2)C(c2cccc(F)c2F)C1 to increase its MR value.,Oc1ccc(F)cc1C1CC1
QED,Optimize the molecule COc1ccc(-n2c(C)ccc2C=C2SC(Nc3cccc(Cl)c3C)=[NH+]C2=O)cc1 to have a lower QED value.,CCC1CCCN(c2cc(C)c(O)cc2C(C)[NH3+])C1
LogP,Optimize the molecule N#Cc1ccc(N2CCCC3(CCOCC3)C2)c(F)c1 to have a higher LogP value.,COc1cc(C(C)Nc2ncnc3scc(-c4ccccc4)c23)ccc1OCCNO
MR,Please modify the molecule N#Cc1ccc(F)cc1C1CC1 to decrease its MR value.,C[NH2+]CCCC(CCC(F)(F)C(F)F)SC(CCC[NH2+]C)CCC(F)(F)C(F)(F)F
QED,Modify the molecule CCC1CCCN(c2cc(C)c(F)cc2C(C)[NH3+])C1 to decrease its QED value.,CCSc1nc(CC(C)C)c2cnn(CCNC(=O)Cc3cccs3)c2n1
LogP,Please optimize the molecule COc1cc(C(C)Nc2ncnc3scc(-c4ccccc4)c23)ccc1OCCO to have a lower LogP value.,COc1cc(C(C)Nc2ncnc3scc(-c4ccccc4)c23)ccc1OCCNO
MR,Please optimize the molecule C[NH2+]CCCC(CCC(F)(F)C(F)(F)F)SC(CCC[NH2+]C)CCC(F)(F)C(F)(F)F to have a lower MR value.,C[NH2+]CCCC(CCC(F)(F)C(F)F)SC(CCC[NH2+]C)CCC(F)(F)C(F)(F)F
QED,Modify the molecule CCSc1nc(NCC(C)C)c2cnn(CCNC(=O)Cc3cccs3)c2n1 to have a higher QED value.,CCSc1nc(CC(C)C)c2cnn(CCNC(=O)Cc3cccs3)c2n1
LogP,Please modify the molecule O=c1oc2ccccc2c2c1C(c1ccccc1)C(c1ccc(Cl)cc1)C2 to decrease its LogP value.,O=c1oc2ccccc2c2c1C(c1ccccc1)C(c1ccccc1)C2
MR,Modify the molecule CCCNc1nc(C2CCOC2)nc(C(C)(C)C)c1Br to have a lower MR value.,CCCNc1nc(C2CCOC2)nc(C(C)(C)C)c1S
QED,Please modify the molecule N#Cc1ccnc(N2CC[NH+](CC(=O)N3CCOCC3)CC2)c1 to increase its QED value.,CCCCCCCCC(COc1ccc(C)cc1)C(O)CCCCC
LogP,Modify the molecule CC(C)(Cc1ccccc1Cl)NC=O to have a lower LogP value.,C=C(C[NH2+]C(C)(C)c1nccs1)NO
MR,Modify the molecule COc1ccccc1N=Nc1c(-c2ccccc2)nc2c(C)cccn12 to increase its MR value.,COc1cc(O)ccc1N=Nc1c(-c2ccccc2)nc2c(C)cccn12
QED,Please modify the molecule CCCCCCCCC(CCCCCC)COc1ccc(C)cc1 to increase its QED value.,CC1CN(C(=O)C(C)Oc2ccccc2C(F)F)CC[NH2+]1
LogP,Modify the molecule C=C(Cl)C[NH2+]C(C)(C)c1nccs1 to decrease its LogP value.,C=C(C[NH2+]C(C)(C)c1nccs1)NO
MR,Modify the molecule CCN1C(=O)c2cccc3c(-c4ccc(O)cc4)ccc1c23 to have a higher MR value.,CCN1C(=O)c2cccc3c(-c4ccc(O)cc4)cc(-c4ccccc4)c1c23
QED,Optimize the molecule CC1CN(C(=O)C(C)Oc2ccccc2C(F)(F)F)CC[NH2+]1 to have a lower QED value.,CC1CN(C(=O)C(C)Oc2ccccc2C(F)F)CC[NH2+]1
LogP,Please modify the molecule CC(C)C[NH+](Cc1nc(N)ccc1Cl)CC(C)C to decrease its LogP value.,CC(C)C[NH+](Cc1nc(N)ccc1C(=O)[OH])CC(C)C
MR,Please optimize the molecule CCC(CCO)[NH2+]C(CN)c1ccc2c(c1)OCCCO2 to have a lower MR value.,COCC(C)c1nc(Nc2ccc(S(=O)(=O)N(C)C)cc2)ncc1Cl
QED,Optimize the molecule CC(C)OCCN(C)C(=O)CC1CCC([NH3+])CC1 to have a lower QED value.,CC(C)OCC(C)C1CCC([NH3+])CC1
LogP,Please modify the molecule CC([NH2+]CCSc1cccc(C(F)(F)F)c1)c1cccc2ccccc12 to decrease its LogP value.,CC([NH2+]CCSc1cccc(C(F)(F)S)c1)c1cccc2ccccc12
MR,Modify the molecule COCC(C)Nc1nc(Nc2ccc(S(=O)(=O)N(C)C)cc2)ncc1Cl to decrease its MR value.,COCC(C)c1nc(Nc2ccc(S(=O)(=O)N(C)C)cc2)ncc1Cl
QED,Optimize the molecule C=CC(CCCCCCCCC)C(NC(=O)OC)c1ccc(Br)cc1 to have a higher QED value.,C=CC(CCCCCCCCC)C(NC(=O)OC)c1ccccc1
LogP,Please modify the molecule COc1ccc(CNc2c(I)cnn(-c3ccccc3)c2=O)cc1 to decrease its LogP value.,COc1ccc(CNc2c(NO)cnn(-c3ccccc3)c2=O)cc1
MR,Modify the molecule Cc1cc(Nc2cc(C3CCCN(C(=O)OC(C)(C)C)C3)nc3c(-c4cnn(C)c4)cnn23)ccc1OCO to decrease its MR value.,OC1CC[NH+](CC2CC(n3ccc4cncnc43)C2)CC1
QED,Modify the molecule COc1ccc(NC(=[NH+]C(C)(C)C)SCc2ccccc2)cc1 to increase its QED value.,COc1ccc(NC(SCc2ccccc2)C(C)(C)C)cc1
LogP,Please modify the molecule CC(C)(C)c1ccc(C(=O)Nc2nnc(C3CC(=O)N(c4ccccc4)C3)o2)cc1 to decrease its LogP value.,CC(C)(CC[NH2+]CC1CC1)NO
MR,Modify the molecule OC1CC[NH+](CC2CC(n3ccc4c(Cl)ncnc43)C2)CC1 to decrease its MR value.,CCCCC(O)C(CCCc1ccccc1)O[SiH3]
QED,Modify the molecule CCOc1nc(Cl)nc(N2CC[NH+](C3CC3)CC2)n1 to decrease its QED value.,CCOc1nc(O)nc(N2CC[NH+](C3CC3)CC2)n1
LogP,Modify the molecule CC(C)(C#N)CC[NH2+]CC1CC1 to decrease its LogP value.,CCOC(=O)N1CCC(Sc2nnc(-c3ccc(C(C)(C)C)cc3)n2CC)C1
MR,Modify the molecule CCCCCC(CCCc1ccccc1)O[SiH3] to have a higher MR value.,CCCCC(O)C(CCCc1ccccc1)O[SiH3]
QED,Please optimize the molecule Cc1cc2c(cc1S(=O)(=O)NC1CC([NH3+])C1)OCO2 to have a lower QED value.,Cc1cc2c(cc1S(=O)(=O)NC1CC([NH3+])C1O)OCO2
LogP,Modify the molecule CCOC(=O)N1CCN(C(=O)CSc2nnc(-c3ccc(C(C)(C)C)cc3)n2CC)CC1 to have a higher LogP value.,CC1C(C)(C#N)SC(N)=[NH+]C1(C)c1cccc(N)c1
MR,Modify the molecule CC1CN(S(=O)(=O)c2ccc(C(=O)NC(C)c3cccc(C(F)(F)F)c3)cc2)CC(C)O1 to have a higher MR value.,CC1CN(S(=O)(=O)c2ccc(C(=O)NC(C)(C(=O)O)c3cccc(C(F)(F)F)c3)cc2)CC(C)O1
QED,Modify the molecule COc1ccc(OC)c2c(C)c3ccnc(Cl)c3cc12 to increase its QED value.,CCOC(C(=O)[O-])N(C=O)C(C)C
LogP,Please modify the molecule CC1C(C)(C#N)SC(N)=[NH+]C1(C)c1cc(N)ccc1F to decrease its LogP value.,CC1C(C)(C#N)SC(N)=[NH+]C1(C)c1cccc(N)c1
MR,Modify the molecule CCOc1sc2ccc(N)cc2c1[S-] to have a higher MR value.,CCOc1sc2ccc(N)c(O)c2c1[S-]
QED,Modify the molecule CCOc1cccc(C(C(=O)[O-])N(C=O)C(C)C)c1 to decrease its QED value.,Cc1cc(Cl)ccc1NC(=O)C(N)CS(=O)(=O)N1CCc2ccccc21
LogP,Modify the molecule CCC(=O)NCCCCCCCC(=O)NCCCCCCOC1OC(C(=O)[O-])C(OC2OC(C)C(O)C(O)C2NC(C)=O)C(O)C1OS(=O)[O-] to increase its LogP value.,N#Cc1cc2c(cc1C1(C(=O)[O-])CCC1)OC1(CCC1)O2
MR,Modify the molecule CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C to increase its MR value.,CCCCCCCCCCC(=O)OC(COC(=O)CCCCCCC)COP(=O)([O-])OCC(O)COP(=O)([O-])OCC(O)(COC(=O)CCCCCCCCCCC(C)CC)OC(=O)CCCCCCCCCCCCCCCCCC(C)C
QED,Modify the molecule Cc1cc(Cl)ccc1NC(=O)CCS(=O)(=O)N1CCc2ccccc21 to have a lower QED value.,Cc1cc(Cl)ccc1NC(=O)C(N)CS(=O)(=O)N1CCc2ccccc21
LogP,Please optimize the molecule O=C([O-])C1(c2cc3c(cc2Cl)OC2(CCC2)O3)CCC1 to have a lower LogP value.,N#Cc1cc2c(cc1C1(C(=O)[O-])CCC1)OC1(CCC1)O2
MR,Please optimize the molecule Cc1cc(OC(=O)CCNC(=O)c2ccco2)cc(C(C)C)c1 to have a lower MR value.,CC(C)(C)OC(=O)CCNC(=O)c1ccco1
QED,Please optimize the molecule COc1ccc(OC)c(S(=O)(=O)N2CCCC(C(=O)Nc3cccc(C(F)(F)F)c3)C2)c1 to have a higher QED value.,Cc1ccc(F)c(-c2ccccc2)c1CN(CCBr)CC(F)(F)F
LogP,Please modify the molecule O=C(NCC1CCSC1)c1ccc(O)cc1F to decrease its LogP value.,CC1(C(=O)[O-])CCCC1NC(=O)NCc1cc(CN)no1
MR,Please modify the molecule CC(=O)NCCNS(=O)(=O)c1cc(C)c(C)cc1N to decrease its MR value.,CC(=O)NCCNS(=O)(=O)CCN
QED,Modify the molecule Cc1ccc(F)cc1CN(CCBr)CC(F)(F)F to decrease its QED value.,Cc1ccc(F)c(-c2ccccc2)c1CN(CCBr)CC(F)(F)F
LogP,Please modify the molecule Cc1cc(CNC(=O)NC2CCCC2(C)C(=O)[O-])on1 to decrease its LogP value.,CC1(C(=O)[O-])CCCC1NC(=O)NCc1cc(CN)no1
MR,Please optimize the molecule CN(C)c1cccc(C(=O)N2CCCCC2c2ccc(C[NH+](C)C)cc2)c1 to have a higher MR value.,CN(C)c1cccc(C(=O)N2CCCCC2(N)c2ccc(C[NH+](C)C)cc2)c1
QED,Modify the molecule O=C1CCCc2[nH]c(=O)c(C(=O)N3CCN(c4ccc(F)cc4)CC3)cc21 to have a lower QED value.,Cc1cc(Oc2ccc([N+](=O)[O-])cc2OCc2ccccc2)nc(Cl)n1
LogP,Modify the molecule CC(C)(O)CCCCCCC(Cl)(Cl)Cl to have a lower LogP value.,CC(C)(O)CCCCCCC(Cl)(Cl)C(=O)[OH]
MR,Optimize the molecule COCC(CO)[NH2+]C1CCCc2cccnc21 to have a lower MR value.,COCC(C)[NH2+]C1CCCc2cccnc21
QED,Please optimize the molecule COc1cc([N+](=O)[O-])ccc1Oc1cc(C)nc(Cl)n1 to have a lower QED value.,Cc1cc(Oc2ccc([N+](=O)[O-])cc2OCc2ccccc2)nc(Cl)n1
LogP,Please modify the molecule CC(NC(=O)C(F)F)c1ncn(C)n1 to increase its LogP value.,Cn1cnc(C(C)(NC(=O)C(F)F)c2ccccc2)n1
MR,Modify the molecule COc1ccc(C(=O)C2CCCN(C(=O)c3ccc(-n4ccnc4)cc3)C2)cc1F to have a higher MR value.,O=C([O-])c1cc(CNC(=O)N2CCOCC2)c2ccc(Cc3cccc(Cl)c3)cn2c1=O
QED,Please optimize the molecule O=C1c2cccc(N3CC[NH+](Cc4cccc5cccnc45)CC3)c2C(=O)N1Cc1cccc(C(F)(F)F)c1 to have a lower QED value.,CN(CCc1ccc(-c2ccccc2)cn1)C(=O)C=Cc1cn(C)c2ccccc12
LogP,Please modify the molecule CCOC(=O)C1=C(C)N=c2sc(=Cc3cc(C)n(-c4ccc(OCc5ccc(Br)cc5)cc4)c3C)c(=O)n2C1c1ccccc1Cl to decrease its LogP value.,CCOC(=O)C1=C(C)N=c2sc(=Cc3cc(C)n(-c4ccc(OCc5ccc(O)cc5)cc4)c3C)c(=O)n2C1c1ccccc1Cl
MR,Please modify the molecule O=C([O-])c1cc(CNC(=O)N2CCOCC2)c2ccc(Cc3cccc(Cl)c3F)cn2c1=O to increase its MR value.,ClCCCCCCCCCCc1ccsc1
QED,Optimize the molecule CN(CCc1ccccn1)C(=O)C=Cc1cn(C)c2ccccc12 to have a lower QED value.,CN(CCc1ccc(-c2ccccc2)cn1)C(=O)C=Cc1cn(C)c2ccccc12
LogP,Please optimize the molecule CC(C)(O)C([NH3+])C1=CCC=C1 to have a higher LogP value.,CC(C)(O)C([NH3+])C1=CCC=C1c1ccccc1
MR,Please optimize the molecule SCCCCCCCCCCc1ccsc1 to have a lower MR value.,CC(=O)C(C)C(=O)NCc1cccnn1
QED,Please optimize the molecule CC(C)(C[NH3+])c1nccc(-c2ccccc2)n1 to have a lower QED value.,CC(C)(C[NH3+])c1nc(CC=O)cc(-c2ccccc2)n1
LogP,Modify the molecule Cc1cc2c(cc1CNC(=O)C(O)C[NH3+])OCO2 to have a higher LogP value.,Cc1ccc(CCNC(=O)c2n[nH]c3ccc(C)cc23)cc1
MR,Optimize the molecule CC(C#N)C(=O)NCc1cccnn1 to have a higher MR value.,CCCN(Cc1csc(COc2ccc(C)c(C)c2)n1)C(=O)c1ccc(OC)c(N)c1
QED,Modify the molecule O=C([O-])CC(O)C[NH2+]CC1(O)CCOC1 to increase its QED value.,CC(=O)C(C[NH2+]CC1(O)CCOC1)CC(=O)[O-]
LogP,Please modify the molecule Cc1ccc2[nH]nc(C(=O)NCCc3ccc(CO)cc3)c2c1 to increase its LogP value.,Cc1ccc(CCNC(=O)c2n[nH]c3ccc(C)cc23)cc1
MR,Please optimize the molecule CCCN(Cc1csc(COc2ccc(C)c(C)c2)n1)C(=O)c1ccc(OC)cc1 to have a higher MR value.,CCCN(Cc1csc(COc2ccc(C)c(C)c2)n1)C(=O)c1ccc(OC)c(N)c1
QED,Please modify the molecule CCS(=O)(=O)N1CCN(C(=O)c2cc(Cl)c3c(c2)OCO3)CC1 to decrease its QED value.,CC(C)S(=O)(=O)c1ccc(Oc2ccc(F)cc2F)c(Br)c1-c1ccccc1
LogP,Please modify the molecule ClC(Cl)Oc1cccc2ccccc12 to decrease its LogP value.,COc1cccc(C(=O)NCC(NC(=O)C(C)C)c2ccccc2)c1OC(F)F
MR,Modify the molecule Cc1ccc(C(CCC2CC2)NN)cc1C to decrease its MR value.,CC(C)c1ccc(C=O)c(C(=O)[OH])c1O
QED,Modify the molecule CC(C)S(=O)(=O)c1ccc(Oc2ccc(F)cc2F)c(Br)c1 to have a lower QED value.,Cn1cnc(C(NO)c2cncc3ccccc23)c1
LogP,Modify the molecule COc1cccc(C(=O)NCCNC(=O)C(C)C)c1OC(F)F to increase its LogP value.,COc1cccc(C(=O)NCC(NC(=O)C(C)C)c2ccccc2)c1OC(F)F
MR,Please modify the molecule CC(C)c1ccc(C=O)c(O)c1O to increase its MR value.,CC(C)c1ccc(C=O)c(C(=O)[OH])c1O
QED,Modify the molecule Cn1cnc(C(O)c2cncc3ccccc23)c1 to have a lower QED value.,CCCCOCCN1CC(C)(C2(c3ccccc3)CC2)[NH2+]CC12CCCC2
LogP,Please modify the molecule [NH3+]CCNc1ccc(OCc2ccc(C(=O)[O-])o2)cc1 to decrease its LogP value.,[NH3+]CCNOCc1ccc(C(=O)[O-])o1
MR,Please modify the molecule Cc1ccc(OCCNC(=O)CCCCl)cc1C to decrease its MR value.,CCOCCNC(=O)CCCCl
QED,Modify the molecule CCCCOCCN1CC(C)(C2CC2)[NH2+]CC12CCCC2 to have a lower QED value.,Cc1ccc(NC(=O)CCCNC(=O)OC(C)(C)C)c(Cl)c1
