SubTask,Instruction,molecule
MR,Modify the molecule Cc1ccccc1NC(=O)c1ccc(NC(=O)C2CCCN2C(=O)C2CC[NH+](C(C)C(=O)Nc3ccc(Cl)c(C(=O)N4CCCC(C)C4)c3)CC2)cc1 to have a lower MR value.,Cc1ccccc1NC(=O)c1ccc(NC(=O)C2CCCN2C(=O)C2CC[NH+](C(C)C(=O)Nc3cccc(C(=O)N4CCCC(C)C4)c3)CC2)cc1
QED,Please modify the molecule COC1(Cn2c(CCCl)nc3cc(C)cnc32)CCOC1 to increase its QED value.,CCc1nc2cc(C)cnc2n1CC1(OC)CCOC1
LogP,Optimize the molecule CCCCCC(O)CCc1ccc2ccccc2c1 to have a higher LogP value.,C[NH2+]CCc1ccccc1C(=O)Nc1ncc(O)nn1
MR,Modify the molecule CC(C)[NH2+]C1(C2(C(C)C)OC[NH+]=C3NC(Cl)=CCC32)CCC(C)(C)CC1 to have a lower MR value.,CC(C)[NH2+]C1(C2(C(C)C)OC[NH+]=C3NC(C#N)=CCC32)CCC(C)(C)CC1
QED,Optimize the molecule CC(C)(C)[Si](OCC1CC2C(=O)N(c3ccccc3)C(=O)C2C2CC(c3cccc(O)c3)OC12O)(c1ccccc1)c1ccccc1 to have a lower QED value.,CC(C)(C)[Si](OCC1CC(C(=O)c2ccccc2)C2CC(c3cccc(O)c3)OC12O)(c1ccccc1)c1ccccc1
LogP,Please modify the molecule C[NH2+]CCc1ccccc1C(=O)Nc1nccnn1 to decrease its LogP value.,C[NH2+]CCc1ccccc1C(=O)Nc1ncc(O)nn1
MR,Please modify the molecule COc1c(C)c(C(=O)c2ccc(N)c(C(=O)[O-])c2)n2cccc(OCCOCCOCCOCCOCCOCCOCCI)c12 to decrease its MR value.,COc1c(C)c(C(=O)c2ccc(N)c(C(=O)[O-])c2)n2cccc(OCCOCCOCCOCCOCCOCCOCCC#N)c12
QED,Please modify the molecule C[NH+]=C(NCCCc1nn(-c2ccccc2)c(N)c1C#N)NCC(C)c1ccccc1 to decrease its QED value.,C[NH+]=C(NCCCc1nn(-c2ccccc2)c(N)c1C(=O)[OH])NCC(C)c1ccccc1
LogP,Optimize the molecule COc1cccc(N2CCN(C(=O)C3CCCc4sc(NC(=O)c5ccc(C)cc5)nc43)CC2)c1 to have a lower LogP value.,CCONC(=O)CSc1nnc(N2C([NH3+])=C(C#N)C(c3ccco3)C3=C2CC(C)(C)CC3=O)s1
MR,Please optimize the molecule COc1ccc(S(=O)(=O)N(C)Cc2cccc(Oc3ccccc3)c2)cc1C to have a lower MR value.,COc1ccc(S(=O)(=O)N(C)Cc2cccc(O)c2)cc1C
QED,Please optimize the molecule COc1cc(F)c(C(Cl)C2(c3ccccc3)CC2)c(F)c1 to have a lower QED value.,[NH3+]CC1(C(=O)NCCc2cccc(Cc3ccccc3)c2)CCCCC1
LogP,Please modify the molecule CCOc1ccc(NC(=O)CSc2nnc(N3C([NH3+])=C(C#N)C(c4ccco4)C4=C3CC(C)(C)CC4=O)s2)cc1 to decrease its LogP value.,CCONC(=O)CSc1nnc(N2C([NH3+])=C(C#N)C(c3ccco3)C3=C2CC(C)(C)CC3=O)s1
MR,Modify the molecule CSc1ccc(C=NNC(=O)C(C)N(c2ccccc2)S(C)(=O)=O)cc1 to increase its MR value.,CC(C)N1CC(C(=O)NCCNC(=O)Cl)CC1=O
QED,Modify the molecule Cc1cccc(CCNC(=O)C2(C[NH3+])CCCCC2)c1 to decrease its QED value.,[NH3+]CC1(C(=O)NCCc2cccc(Cc3ccccc3)c2)CCCCC1
LogP,Please modify the molecule O=C(Nc1nnc(-c2ccc(C(F)(F)F)cc2)o1)c1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1 to decrease its LogP value.,O=C(Nc1nnc(-c2ccc(C(F)(F)S)cc2)o1)c1ccc(S(=O)(=O)N2CCc3ccccc3C2)cc1
MR,Modify the molecule CC(C)N1CC(C(=O)NCCNC(=O)c2ccccc2Cl)CC1=O to decrease its MR value.,CC(C)N1CC(C(=O)NCCNC(=O)Cl)CC1=O
QED,Modify the molecule CC(C)(C)C(NC(=O)c1cccn2c(-c3ccc(Nc4nccs4)cc3)nnc12)C(=O)[O-] to increase its QED value.,CC(C)(C)C(NC(=O)c1cccn2c(Nc3nccs3)nnc12)C(=O)[O-]
LogP,Modify the molecule COC(=O)c1ccc2ccccc2c1OC1OC(CO)C(O)C(O)C1NC(C)=O to have a higher LogP value.,COC(=O)c1ccc2ccccc2c1OC1CC(O)C(O)C(CO)O1
MR,Modify the molecule COc1ccc(F)cc1C(=O)C[NH+](C)C(C)CO to have a higher MR value.,COc1ccccc1C(=O)C[NH+](C)C(C)CO
QED,Please optimize the molecule O=C([O-])C1(Cc2cc(Br)ccc2F)CCCS1 to have a lower QED value.,N#Cc1ccc(F)c(CC2(C(=O)[O-])CCCS2)c1
LogP,Please modify the molecule Cc1nc2c(C)cccn2c1C(=O)NCCCC(=O)N1CCN(c2ccc(F)cc2)CC1 to decrease its LogP value.,Cc1nc2c(C)cccn2c1C(=O)NCCCC(=O)N1CCN(c2ccc(C(=O)[OH])cc2)CC1
MR,Please optimize the molecule CC(NC(=O)C=Cc1ccco1)C(O)c1ccc(F)c(F)c1 to have a lower MR value.,CC(Cc1ccc(F)c(F)c1)NC(=O)C=Cc1ccco1
QED,Please optimize the molecule Cc1ccc(S(=O)(=O)n2ccc3c(N(C)C4COCCN(C(=O)OC(C)(C)C)C4)ncnc32)cc1 to have a higher QED value.,CN(c1ncnc2c1ccn2S(C)(=O)=O)C1COCCN(C(=O)OC(C)(C)C)C1
LogP,Please optimize the molecule COc1ccccc1C(Cl)Cc1ccccc1F to have a lower LogP value.,COc1ccccc1C(Cl)Cc1ccccc1
MR,Modify the molecule O=C([O-])N1CCC(Sc2ccc3cc(Cl)ccc3c2)CC1 to decrease its MR value.,O=C([O-])N1CCC(Sc2ccc3ccccc3c2)CC1
QED,Please optimize the molecule CCCCCCc1cccc(N(c2cccc(CCCCCC)c2)c2ccc3c(c2)c2cc(CC)ccc2n3-c2ccc(C)cc2)c1 to have a lower QED value.,CCCCCCc1cccc(N(c2cccc(CCCCCC)c2)c2ccc3c(c2)c2cc(CC)ccc2n3-c2ccc(C)cc2-c2ccccc2)c1
LogP,Please modify the molecule Cc1ccc(C=Cc2ccc([O-])c3c2CC2([NH3+])CC4(N)C([NH+](C)C)C(=O)C(C(N)=O)C(=O)C4(C#N)C(=O)C2C3=O)cc1 to increase its LogP value.,COc1ccc(OC)c(-c2cc(C=O)c(C)s2)c1
MR,Optimize the molecule O=C([O-])c1c(O)c(-c2ccc(Oc3ccccc3)cc2)nc2ccccc12 to have a lower MR value.,CC1(C)CCN(C(=O)Cn2nnc(-c3ccc(NO)cc3)n2)CCS1=O
QED,Optimize the molecule [NH3+]CCCNc1ncnc2sncc12 to have a higher QED value.,[NH3+]CCCc1ncnc2sncc12
LogP,Optimize the molecule COc1ccc(OC)c(-c2cc(C(=O)Cl)c(C)s2)c1 to have a lower LogP value.,COc1ccc(OC)c(-c2cc(C=O)c(C)s2)c1
MR,Modify the molecule CC1(C)CCN(C(=O)Cn2nnc(-c3ccc(Cl)cc3)n2)CCS1=O to have a higher MR value.,CC1(C)CCN(C(=O)Cn2nnc(-c3ccc(NO)cc3)n2)CCS1=O
QED,Optimize the molecule CCC=CC=CC(OC(C=CC=CCC)C1OC(CO)C(O)C(O)C1O)C1OC(CO)C(O)C(O)C1O to have a higher QED value.,CCC=CC=CC(OC(C=CC=CCC)C1OC(CO)C(O)C(O)C1O)C1OC(C)C(O)C(O)C1O
LogP,Modify the molecule Cc1cc(S(=O)(=O)Nc2ccc(-c3cn4ccsc4[nH+]3)cc2)c(C)cc1Cl to have a lower LogP value.,Cc1cc(S(=O)(=O)Nc2cn3ccsc3[nH+]2)c(C)cc1Cl
MR,Please modify the molecule COc1ccc(CNc2ncnc3c2ccn3C2CC(C[NH+](CC(C)C)C3CC(CCC(=O)Nc4ccc(C(C)(C)C)cc4N)C3)C3OC(C)(C)OC32)c(C)c1 to decrease its MR value.,COc1ccc(CNc2ncnc3c2ccn3C2CC(C[NH+](CC(C)C)C3CC(CCC(=O)Nc4ccc(C(C)(C)C)cc4)C3)C3OC(C)(C)OC32)c(C)c1
QED,Modify the molecule COc1ccc(-c2cnn(-c3ccc(C)cc3)[n+]2[O-])cc1 to have a higher QED value.,COc1ccc(-c2cnn(-c3ccc(CO)cc3)[n+]2[O-])cc1
LogP,Please optimize the molecule CCOc1cc(N)cc(NCc2ccnc(OC)c2)c1 to have a higher LogP value.,CCOc1cc(N)cc(NCc2ccnc(OCc3ccccc3)c2)c1
MR,Optimize the molecule C=C(Nc1ccc(Cl)cc1C(=O)c1ccccc1)C(C)(C)C to have a higher MR value.,C=C(Nc1c(O)cc(Cl)cc1C(=O)c1ccccc1)C(C)(C)C
QED,Modify the molecule CC1Cc2c(ccc3sc4ccccc4c23)C1O to have a lower QED value.,Cc1nnc2n1CC(C(=O)[O-])N(C(=O)C1CC(c3ccccc3O)=NO1)C2
LogP,Optimize the molecule CCN(CC)C(=O)C1CC(=O)c2ccc(F)cc2S1 to have a lower LogP value.,O=CCc1ccccc1C1=CP(=O)(Nc2ccccc2C(F)(F)F)C=C(c2ccccc2)O1
MR,Modify the molecule CCN(CC1CCCCO1)C(=O)Nc1ccc(OC)c(NC(C)=O)c1 to have a lower MR value.,CCn1c(SC(C)C(=O)Nc2c(F)cccc2C(=O)[OH])nnc1-c1ccoc1C
QED,Please optimize the molecule Cc1nnc2n1CC(C(=O)[O-])N(C(=O)C1CC(c3ccccc3)=NO1)C2 to have a higher QED value.,CC(C)(CC(C1CC1)C1OC=CCC1c1ccccc1)S(N)=O
LogP,Modify the molecule O=P1(Nc2ccccc2C(F)(F)F)C=C(c2ccccc2)OC(c2ccccc2)=C1 to have a lower LogP value.,O=CCc1ccccc1C1=CP(=O)(Nc2ccccc2C(F)(F)F)C=C(c2ccccc2)O1
MR,Modify the molecule CCn1c(SC(C)C(=O)Nc2c(F)cccc2F)nnc1-c1ccoc1C to have a higher MR value.,CCn1c(SC(C)C(=O)Nc2c(F)cccc2C(=O)[OH])nnc1-c1ccoc1C
QED,Please modify the molecule CC(C)(CC(C1CC1)C1CCC=CO1)S(N)=O to increase its QED value.,CC(C)(CC(C1CC1)C1OC=CCC1c1ccccc1)S(N)=O
LogP,Modify the molecule Cc1cc(C)c(-c2ccc(C(c3ccc(-c4c(C)cc(C)cc4C)cc3)C3CCC[NH2+]3)cc2)c(C)c1 to decrease its LogP value.,Cc1ccccc1C(=O)N(Cl)NC(=O)C(NC(=O)C1CC[NH+](CC(=O)Nc2ccc(Cl)c(C(=O)NC(C)C)c2)CC1)C(C)C
MR,Please modify the molecule CCCCC(=C(c1ccccc1)c1ccccc1)C(C)O to increase its MR value.,CCCCC(=C(c1ccccc1)c1ccccc1)C(C)S
QED,Please optimize the molecule COc1cccc(Nc2nnc(Nc3ccc4ncsc4c3)c3ccccc23)c1 to have a lower QED value.,COc1cccc(Nc2nnc(Nc3ccc4ncsc4c3)c3cc(O)ccc23)c1
LogP,Modify the molecule Cc1ccccc1C(=O)Nc1ccc(Cl)c(NC(=O)C(NC(=O)C2CC[NH+](CC(=O)Nc3ccc(Cl)c(C(=O)NC(C)C)c3)CC2)C(C)C)c1 to decrease its LogP value.,Cc1ccccc1C(=O)N(Cl)NC(=O)C(NC(=O)C1CC[NH+](CC(=O)Nc2ccc(Cl)c(C(=O)NC(C)C)c2)CC1)C(C)C
MR,Modify the molecule COC1(C)CCCCC1[Se]C1C(=NO)C2(C)CCC1C2(C)C to increase its MR value.,CC(=O)N=C1C([Se]C2CCCCC2(C)OC)C2CCC1(C)C2(C)C
QED,Modify the molecule CC[NH+](CC)Cc1ccc(C(=O)NCC(O)(CC)CC)o1 to decrease its QED value.,Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)Cl)CC2)cc1Cl
LogP,Please optimize the molecule CC1CCC(OCCC2CCCC2O)CC1 to have a higher LogP value.,CC1CCC(OCCC2CCCC2)CC1
MR,Please optimize the molecule CC(=CC(=O)N(C)C(C)c1cc2ccccc2o1)c1ccc(F)cc1 to have a lower MR value.,CC(F)=CC(=O)N(C)C(C)c1cc2ccccc2o1
QED,Optimize the molecule Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)c3ccc(Cl)cc3)CC2)cc1Cl to have a higher QED value.,Cc1ccc(S(=O)(=O)N2CCN(S(=O)(=O)Cl)CC2)cc1Cl
LogP,Modify the molecule [NH3+]C1CN(C(=O)CNC(=O)CC2CCCCC2)CC1c1ccccc1 to have a lower LogP value.,[NH3+]C1CN(C(=O)CNC(=O)CC2CCCC(O)C2)CC1c1ccccc1
MR,Optimize the molecule CC(C)C1=CC(c2cc(C(C)C)cc(C(C)C)c2)=CC(C(C)C)C1(N)[NH3+] to have a higher MR value.,CC(C)C1=CC(c2cc(C(C)C)cc(C(C)(C)O)c2)=CC(C(C)C)C1(N)[NH3+]
QED,Modify the molecule CC(Oc1ccccc1Cl)C(=O)NC1COC1 to have a lower QED value.,COc1ccc(C(CC(=O)[O-])c2ncc(CCCCc3ccc4c(n3)NCCC4)s2)cc1NO
LogP,Please modify the molecule [NH3+]CC(O)c1cncc2ccncc12 to decrease its LogP value.,Nc1ncc(C(O)C[NH3+])c2cnccc12
MR,Modify the molecule Cn1c(-c2ccc(-c3nccs3)cc2)c[nH+]c1C(Cc1ccccn1)N(C=O)c1cc2cc(Cl)ccc2o1 to decrease its MR value.,Cn1c(-c2ccc(-c3nccs3)cc2)c[nH+]c1C(Cc1ccccn1)N(C=O)c1cc2ccccc2o1
QED,Please modify the molecule COc1ccc(C(CC(=O)[O-])c2ncc(CCCCc3ccc4c(n3)NCCC4)s2)cc1F to decrease its QED value.,[NH3+]C1CCC=CCCCCC(c2ccccc2)CC1
LogP,Please optimize the molecule CCCC=CCCCCCCCCCC=CCCCCCCCC(O)(C[N+](C)(C)C)P(=O)([O-])[O-] to have a higher LogP value.,CCCC=CCCCCCCCCCC=CCCCCCCCC(C[N+](C)(C)C)P(=O)([O-])[O-]
MR,Please optimize the molecule CC(C)NC(=O)Nc1ccccc1C(=O)N1CCN(S(=O)(=O)c2cc(Cl)ccc2Cl)CC1 to have a lower MR value.,CC(C)NC(=O)Nc1ccccc1C(=O)N1CCN(S(=O)(=O)c2ccccc2Cl)CC1
QED,Optimize the molecule [NH3+]C1CCC=CCCCCCCC1 to have a higher QED value.,[NH3+]C1CCC=CCCCCC(c2ccccc2)CC1
LogP,Please modify the molecule OC(C1CC[NH+](Cc2cn[nH]c2-c2ccccc2)CC1)C(F)(F)F to decrease its LogP value.,OC(C(F)F)C1CC[NH+](Cc2cn[nH]c2-c2ccccc2)CC1
MR,Modify the molecule Nc1cc(Br)ccc1NCCCOc1ccccc1 to increase its MR value.,Nc1cc(Br)ccc1NCCCOc1cccc(-c2ccccc2)c1
QED,Please modify the molecule CC1CCCN1C(=O)C12CC1C(C)(c1cc(C=C(F)c3ccc(C#N)cn3)ccc1F)[NH+]=C(N)S2 to decrease its QED value.,CCOC(=O)NC(=O)c1cnn2ccccc12
LogP,Modify the molecule O=C(C=CC(=O)c1ccc(Br)cc1)NC1CCCC1 to decrease its LogP value.,O=C(C=CC(=O)c1ccc(C(=O)[OH])cc1)NC1CCCC1
MR,Modify the molecule Cc1cccc2c1CC[N+](C(=O)CCC(=O)[O-])(c1ccccc1Cl)C2c1ccccc1 to have a higher MR value.,Cc1cccc2c1CC[N+](C(=O)CCC(=O)[O-])(c1ccccc1NO)C2c1ccccc1
QED,Please optimize the molecule CCOC(=O)c1ccc(NC(=O)c2cnn3ccccc23)cc1 to have a higher QED value.,ONc1cccc(NC(=O)Nc2cccc3ccoc23)c1
LogP,Please optimize the molecule Cc1cc(C)c2onc(CC(=O)Nc3ccc(C(=O)N4CC[NH+](C)CC4)cc3)c2c1 to have a lower LogP value.,Cc1cc(C)c2onc(CC(=O)NC(=O)N3CC[NH+](C)CC3)c2c1
MR,Modify the molecule CC(=O)NC(Cc1ccccc1)C(=O)NC1CC(=O)NCCCCC(C(N)=O)NC(=O)C(C)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(CCC[NH+]=C(N)N)NC(=O)C(Cc2ccccc2)NC(=O)C(Cc2cnc[nH]2)NC1=O to decrease its MR value.,N#CC1C2CCC3CCCC31CC2
QED,Optimize the molecule N#Cc1cccc(NC(=O)Nc2cccc3ccoc23)c1 to have a lower QED value.,ONc1cccc(NC(=O)Nc2cccc3ccoc23)c1
LogP,Modify the molecule CCC(NN1CCCC1COC)c1cc2ccccc2o1 to decrease its LogP value.,COCC1CCCN1NC(CCO)c1cc2ccccc2o1
MR,Modify the molecule OC1C2CCC3CCCC31CC2 to have a higher MR value.,N#CC1C2CCC3CCCC31CC2
QED,Please modify the molecule CCOC1CC(N(C)C(=O)Nc2cc3[nH]ccc3cc2C)C12CCCC2 to decrease its QED value.,COc1ccccc1C1[NH2+]Cc2ccccc21
LogP,Please modify the molecule Cc1cc(C(=O)NC2CCN(C(=O)CCOc3ccccc3)CC2)no1 to decrease its LogP value.,Cc1cc(C(=O)NC2CCN(C(=O)CCOc3ccccc3O)CC2)no1
MR,Optimize the molecule Nc1ncc(Cl)cc1C(=O)c1nccc2ccccc12 to have a lower MR value.,Nc1ncccc1C(=O)c1nccc2ccccc12
QED,Modify the molecule COc1ccc(Cl)cc1C1[NH2+]Cc2ccccc21 to have a lower QED value.,COc1ccccc1C1[NH2+]Cc2ccccc21
LogP,Please modify the molecule O=C(NNC(=O)C1CCN(C(=O)N2CCCC2)CC1)c1ccc(Br)cc1 to decrease its LogP value.,ONc1ccc(C(=O)NNC(=O)C2CCN(C(=O)N3CCCC3)CC2)cc1
MR,Modify the molecule CCNc1ncc(COc2c(F)cccc2[N+](=O)[O-])s1 to increase its MR value.,CCNc1ncc(COc2ccccc2[N+](=O)[O-])s1
QED,Modify the molecule CCCCCn1ccc(OCC(O)CN2CC[NH2+]CC2)n1 to increase its QED value.,CCC(Sc1cccc(NC(=O)C(=Cc2ccc(C)cc2)NC(=O)c2ccccc2)c1)C(=O)Nc1sc2c(c1NO)CCN(C(C)=O)C2
LogP,Please optimize the molecule C=CC(=CC=C(C)OC)CO to have a higher LogP value.,C=CC(C)=CC=C(C)OC
MR,Modify the molecule CC(C)(C)OC(=O)NC1CCOCCOCCCCC(C(=O)C(N)=O)NC(=O)C2C3CC(C)(C)OC3CN2C1=O to have a lower MR value.,CC(C)(C)OC(=O)NC12C(=O)NC(C(=O)C(N)=O)CCCCOCCOCCC1C1OC(C)(C)CC12
QED,Please modify the molecule CCC(Sc1cccc(NC(=O)C(=Cc2ccc(C)cc2)NC(=O)c2ccccc2)c1)C(=O)Nc1sc2c(c1C#N)CCN(C(C)=O)C2 to decrease its QED value.,CCC(Sc1cccc(NC(=O)C(=Cc2ccc(C)cc2)NC(=O)c2ccccc2)c1)C(=O)Nc1sc2c(c1NO)CCN(C(C)=O)C2
LogP,Optimize the molecule CCC(C)(C)NC(=O)c1cnc(-c2ccccc2Cl)s1 to have a lower LogP value.,CCC(C)(C)NC(=O)c1cnc(-c2ccccc2S)s1
MR,Please modify the molecule [NH3+]Cc1cccc(N2CC3CC2CS3(=O)=O)c1 to decrease its MR value.,C=CCCCC[NH+](CCOC)Cc1c(C)nn(-c2ccccc2)c1Oc1ccc(OC)cc1
QED,Modify the molecule C[NH2+]C(Cc1cccs1)c1ccc2nccnc2c1 to decrease its QED value.,C[NH2+]C(Cc1sccc1-c1ccccc1)c1ccc2nccnc2c1
LogP,Please modify the molecule CN(Cc1ccc(C#N)cc1)c1ncc(C(N)=O)cc1Cl to decrease its LogP value.,CC(=O)c1cc(C(N)=O)cnc1N(C)Cc1ccc(C#N)cc1
MR,Optimize the molecule C=CCCC(O)C[NH+](CCOC)Cc1c(C)nn(-c2ccccc2)c1Oc1ccc(OC)cc1 to have a lower MR value.,C=CCCCC[NH+](CCOC)Cc1c(C)nn(-c2ccccc2)c1Oc1ccc(OC)cc1
QED,Modify the molecule Cc1cc(C)cc(-c2[nH]nc(OCC(C)(C)C(=O)N3CCCC3)c2CC[NH2+]CCCCc2ccncc2)c1 to have a lower QED value.,Cc1cc(C)cc(-c2[nH]nc(OCCCC3CCC3)c2CC[NH2+]CCCCc2ccncc2)c1
LogP,Modify the molecule O=C(NCc1ccccc1)c1ccccc1N=c1ssnc1Cl to have a lower LogP value.,CC(=O)c1nssc1=Nc1ccccc1C(=O)NCc1ccccc1
MR,Optimize the molecule C=CCOc1cccc(NC(=O)CNc2cccc(C(=O)Nc3cccc(C(F)(F)F)c3)c2)c1 to have a higher MR value.,CN(C)C(=O)c1ccc(N)c(NC2C[NH+](C)CC2O)c1
QED,Please optimize the molecule Cc1ccc(NC(=O)c2oc3c(c2C)C(=NNC(=O)c2ccc(Br)cc2)CCC3)c(C)c1 to have a lower QED value.,Cc1ccc(NC(=O)c2oc3c(c2C)C(=NNC(=O)c2ccc(Br)cc2)C(O)CC3)c(C)c1
LogP,Please modify the molecule COc1cc(OC(F)(F)F)ccc1Oc1cc(C(F)(F)F)ncc1C(=O)Nc1ccc(F)c(C(N)=O)c1 to decrease its LogP value.,CCOCCc1nc(NC)cc(C(C)(C)C)n1
MR,Optimize the molecule CN(C)C(=O)c1ccc(N)c(NC2CC[NH+](C)C2)c1 to have a higher MR value.,CN(C)C(=O)c1ccc(N)c(NC2C[NH+](C)CC2O)c1
QED,Please optimize the molecule NNC(c1occc1Br)c1sccc1Cl to have a lower QED value.,NNC(c1cccs1)c1occc1Br
LogP,Modify the molecule CCOCCc1nc(NC)c(I)c(C(C)(C)C)n1 to have a lower LogP value.,Fc1ccc(C[NH2+]CCOc2cccc(C(F)F)c2)cc1
MR,Please modify the molecule O=C(CNC1CCS(=O)(=O)C1)OCc1cccc(Br)c1 to decrease its MR value.,O=C(CNC1CCS(=O)(=O)C1)OCc1cccc(O)c1
QED,Modify the molecule Cc1ccccc1NC(=O)CSc1nc(-c2cccc(Cl)c2)nc2cc(=O)[nH]n12 to have a higher QED value.,Cc1ccccc1Sc1nc(-c2cccc(Cl)c2)nc2cc(=O)[nH]n12
LogP,Please modify the molecule Fc1ccc(C[NH2+]CCOc2cccc(C(F)(F)F)c2)cc1 to decrease its LogP value.,Fc1ccc(C[NH2+]CCOc2cccc(C(F)F)c2)cc1
MR,Modify the molecule COc1ccc(-c2c(C#N)nnn2C(C)C)cc1 to have a higher MR value.,COc1ccc(-c2c(S)nnn2C(C)C)cc1
QED,Modify the molecule NC(=O)CCCCSc1ncnc(NC(N)=[NH+]CC(F)(F)F)n1 to decrease its QED value.,NC(=O)CCCCSc1ncnc(NC(N)=[NH+]CC(F)F)n1
LogP,Optimize the molecule NC(=O)c1ccc(C(F)(F)F)nc1Oc1ccccc1Cl to have a lower LogP value.,NC(=O)c1ccc(C(F)(F)F)nc1Oc1ccccc1
MR,Modify the molecule CC(=O)CCN1CC(=O)N(C2CC2)C1=O to decrease its MR value.,CC(=O)CCN(C=O)C1CC1
QED,Please modify the molecule COCCCOc1ccc(Cl)cc1CN1CCc2c(OC(=O)[O-])cccc21 to increase its QED value.,CNC(=O)c1ccc(NCC(=O)Nc2ccc(NO)cc2)cc1
LogP,Please optimize the molecule CC1(C)C2CCC(C[NH2+]CCNCC[NH+]3CCOCC3)C1C2 to have a higher LogP value.,CC1(C)C2CCC(C[NH2+]CCCC[NH+]3CCOCC3)C1C2
MR,Modify the molecule CCn1ncc(Cl)c1CN(C)C(=O)c1ccc(COc2ccc(OC)cc2)cc1 to have a lower MR value.,CCn1nccc1CN(C)C(=O)c1ccc(COc2ccc(OC)cc2)cc1
QED,Please modify the molecule CNC(=O)c1ccc(NCC(=O)Nc2ccc(F)cc2)cc1 to decrease its QED value.,O=[P+](c1ccc2sc3ccc([PH](=O)c4ccccc4)cc3c2c1)C(c1ccccc1)c1ccccc1
LogP,Please optimize the molecule COc1ccc(N(CCc2cccnc2)c2cccc(C(=O)[O-])c2)cc1OC1CCCC1 to have a lower LogP value.,COc1ccc(S(=O)(=O)c2ccc3c(c2)N([Si](C(C)C)(C(C)C)C(C)C)CC3(C)C)cc1
MR,Modify the molecule CCC(C(N)=S)S(=O)(=O)NCc1ccc(C(F)(F)F)cc1 to have a higher MR value.,CCC(C(N)=S)S(=O)(=O)NCc1ccc(C(O)(F)F)cc1
QED,Please modify the molecule O=[P+](c1ccc2sc3ccc(P(=O)(c4ccccc4)c4ccccc4)cc3c2c1)C(c1ccccc1)c1ccccc1 to increase its QED value.,O=[P+](c1ccc2sc3ccc([PH](=O)c4ccccc4)cc3c2c1)C(c1ccccc1)c1ccccc1
LogP,Modify the molecule COc1ccc(S(=O)(=O)c2cc3c(cc2F)C(C)(C)CN3[Si](C(C)C)(C(C)C)C(C)C)cc1 to decrease its LogP value.,[NH3+]C1c2ccccc2C(C=NN2CCS(=O)(=O)CC2)CC1(C=O)CC(=O)[O-]
MR,Modify the molecule CCCC1CCC(C2CCC(OC(=O)OC(F)(F)F)CC2)CC1 to increase its MR value.,CCCC1CCC(C2CCC(OC(=O)OC(F)(F)S)CC2)CC1
QED,Optimize the molecule CC[NH+](CC)CCOc1ccc(N(C(=O)c2ccccc2)c2ccc(Br)cc2)cc1 to have a higher QED value.,CC[NH+](CC)CCOc1ccc(N(C(=O)c2ccccc2)c2ccc(C(=O)[OH])cc2)cc1
LogP,Modify the molecule [NH3+]C1c2ccccc2C(C=NN2CCS(=O)(=O)CC2)CC1(CC(=O)[O-])C(=O)c1ccccc1 to decrease its LogP value.,CC(=O)CCNC(=O)CCc1ccc(NC(=O)CCOCCOCCNC(=O)CCC(=O)C(C)C)cc1
MR,Optimize the molecule NC(=O)C[NH2+]Cc1csc(C(=O)[O-])n1 to have a lower MR value.,[NH2+]Cc1csc(C(=O)[O-])n1
QED,Modify the molecule Nc1c(NCc2ccco2)ncnc1NNC(=O)c1ccc(Br)cc1 to have a lower QED value.,Nc1c(NCc2ccco2)ncnc1NNC(=O)c1ccc(O)cc1
LogP,Please optimize the molecule CC(=O)CCNC(=O)CCc1ccc(NC(=O)CCOCCOCCNC(=O)CCN2C(=O)CC(C)(C)C2=O)cc1 to have a higher LogP value.,CC(=O)CCNC(=O)CCc1ccc(NC(=O)CCOCCOCCNC(=O)CCC(=O)C(C)C)cc1
MR,Modify the molecule Cc1ccc(C)c(NC(=O)CSc2nnc(C)n2-c2ccc(F)cc2)c1 to increase its MR value.,Cc1ccc(C)c(NC(=O)CSc2nnc(C)n2-c2ccc(O)cc2)c1
QED,Modify the molecule CC(C)c1ccccc1-n1c(SCC(=O)NCCC2=CCCCC2)nc2ccccc2c1=O to have a lower QED value.,CC(=O)CC(C[NH3+])N(C)Cc1ccncc1
LogP,Modify the molecule CCc1c(NC)ncnc1NCCCCC(C)C to increase its LogP value.,CCc1c(NCCCCC(C)C)ncnc1NCc1ccccc1
MR,Optimize the molecule CCOc1cccc2c1OC(c1cccc(F)c1)N1N=C(c3ccc(F)cc3)CC21 to have a higher MR value.,CCOc1cccc2c1OC(c1cccc(S)c1)N1N=C(c3ccc(F)cc3)CC21
QED,Optimize the molecule CN(Cc1ccncc1)C(C[NH3+])CO to have a higher QED value.,CC(=O)CC(C[NH3+])N(C)Cc1ccncc1
LogP,Please optimize the molecule Cl[Si](Cl)(C12CCC(CC1)C2)C12CCC(CC1)C2 to have a lower LogP value.,Cl[Si](C12CCC(CC1)C2)C12CCC(CC1)C2
