SubTask,Instruction,molecule
LogP,Please modify the molecule CS(=O)(=O)N1CCC(Oc2ccc(C(=O)N3CCCC(O)C3)cc2Cl)CC1 to decrease its LogP value.,CS(=O)(=O)N1CCC(Oc2ccc(C(=O)N3CCCC(NO)C3)cc2Cl)CC1
MR,Modify the molecule O=C([O-])N(CC1CCOC1)c1cnccc1I to decrease its MR value.,O=C([O-])N(CC1CCOC1)c1cccnc1
QED,Modify the molecule OCC1CCCC1C[NH2+]C1CCC(C(F)(F)F)CC1 to have a lower QED value.,FC(F)(F)C1CCC([NH2+]CC2CCCC2CS)CC1
AtomNum,"The molecule is composed of 20 carbon atoms, 3 oxygen atoms, 5 nitrogen atoms, and 1 fluorine atom.",C#CCCCn1c(Cc2cc(OC)c(OC)c(OC)c2)nc2c(N)nc(F)nc21
BondNum,"There is a molecule composed of 12 single bonds, 1 double bond, 1 rotatable bond, and 10 aromatic bonds.",Cc1nc2c(C)cc(Br)cn2c1C(=O)N1CCC[NH2+]CC1
FunctionalGroup,"The molecule contains 1 benzene ring group, and 1 amide group.",CCN(Cc1ccc(OC)cc1)C(=O)CCCCC(=O)[O-]
AddComponent,Add a carboxyl to the molecule Oc1cnccc1-c1nc2cc(F)c(F)cc2[nH]1.,O=C(O)c1nccc(-c2nc3cc(F)c(F)cc3[nH]2)c1O
SubComponent,Please substitute a halo in the molecule O=C([O-])C(Cc1ccc(Cl)cc1)NS(=O)(=O)c1cnc(N2CCC(CCCC3CCN(S(=O)(=O)c4cc(Br)c(Cl)s4)CC3)CC2)c(Br)c1 with a aldehyde.,CC(=O)c1ccc(CC(NS(=O)(=O)c2cnc(N3CCC(CCCC4CCN(S(=O)(=O)c5cc(Br)c(Cl)s5)CC4)CC3)c(Br)c2)C(=O)[O-])cc1
DelComponent,Remove a hydroxyl from the molecule Cc1cc(C)n2ncc(-c3noc(C4(O)CCCC4)n3)c2n1.,Cc1cc(C)n2ncc(-c3noc(C4CCCC4)n3)c2n1
LogP,Modify the molecule COc1cc(Br)c(OCc2csc(C(=O)[O-])n2)cc1Br to decrease its LogP value.,COc1cc(C(=O)[OH])c(OCc2csc(C(=O)[O-])n2)cc1Br
MR,Please optimize the molecule COC(=O)CCC(NC(=O)Cc1ccccc1)ON to have a higher MR value.,COC(=O)CCC(NC(=O)Cc1ccccc1O)ON
QED,Please modify the molecule CCC(C)(C)N(C(=O)C(Cc1ccc(O)cc1)NC(=O)OC(C)(C)C)C(C(=O)NC(Cc1ccccc1)C(=O)OC(C)(C)C)c1cccc(O)c1 to increase its QED value.,CCC(C)(C)N(C(=O)C(Cc1ccc(O)cc1)NC(=O)OC(C)(C)C)C(C(=O)NC(Cc1ccccc1)C(=O)OC(C)(C)C)c1ccccc1
AtomNum,"Please generate a molecule with 18 carbon atoms, 3 oxygen atoms, and 3 nitrogen atoms.",CC(=O)N1CCC(C(=O)NCCc2ccc3nc(C)oc3c2)CC1
BondNum,"The molecule is composed of 11 single bonds, 2 double bonds, 6 rotatable bonds, and 6 aromatic bonds.",Cc1c(C(=O)NCCC[NH+](C)C)cccc1[N+](=O)[O-]
FunctionalGroup,"The molecule has 2 amide groups, and 1 halo group.",NC(=O)CCN1C(=O)COc2ccc(Br)cc21
AddComponent,Please add a hydroxyl to the molecule O=C([O-])C1CCN(C(=O)Nc2ccc3c4c(cccc24)CC3)C1.,O=C([O-])C1CN(C(=O)Nc2ccc3c4c(cccc24)CC3)CC1O
SubComponent,Please substitute a hydroxyl in the molecule COC(=O)C(O)C1(C[NH3+])CCC(C(C)C)CC1 with a thiol.,COC(=O)C(S)C1(C[NH3+])CCC(C(C)C)CC1
DelComponent,Please remove a benzene ring from the molecule c1ccc(N(c2ccc3c(c2)-c2ccccc2Oc2ccccc2-3)c2ccc3c(c2)-c2ccccc2-c2ccccc2C32c3ccccc3-c3c2ccc2oc4ccccc4c32)cc1.,c1ccc2c(c1)Oc1ccccc1-c1cc(Nc3ccc4c(c3)-c3ccccc3-c3ccccc3C43c4ccccc4-c4c3ccc3oc5ccccc5c43)ccc1-2
LogP,Modify the molecule N#CC1=CCC(C2Nc3ccccc3C3[NH2+]CCC32)C=C1 to increase its LogP value.,C1=CCC(C2Nc3ccccc3C3[NH2+]CCC32)C=C1
MR,Please optimize the molecule CCc1ccc(S(=O)(=O)C(N)C2CCOc3c(OCC(=O)[O-])cccc32)cc1 to have a higher MR value.,CCc1ccc(S(=O)(=O)C(N)C2c3cccc(OCC(=O)[O-])c3OCC2c2ccccc2)cc1
QED,Optimize the molecule CC(C)Cc1c(C(=O)[O-])ccc(F)c1Br to have a lower QED value.,CC(C)Cc1c(C(=O)[O-])ccc(NO)c1Br
AtomNum,"Please generate a molecule with 24 carbon atoms, 3 oxygen atoms, 7 nitrogen atoms, 1 sulfur atom, and 1 chlorine atom.",CN(C)c1nccc(N2CCC(CN3CCN(S(=O)(=O)c4cc5cc(Cl)ccc5[nH]4)CC3=O)CC2)n1
BondNum,"There is a molecule with 13 single bonds, 1 double bond, 7 rotatable bonds, and 11 aromatic bonds.",CCNC(NCCc1ccc(C)cc1)=[NH+]CC(C)(O)c1ccsc1
FunctionalGroup,"Please generate a molecule composed of 1 benzene ring group, 2 amine groups, and 1 halo group.",CCOC(C1CC1)C(Cc1cccc(Cl)c1)NN
AddComponent,Add a carboxyl to the molecule C[NH+](C)CCOCC[NH2+]CC(=O)NC1CCOCC1.,C[NH+](C)CCOCC[NH2+]CC(=O)NC1CCOC(C(=O)O)C1
SubComponent,Modify the molecule nitro by substituting a O=[N+]([O-])c1ccccc1CC[NH2+]CCC1=CCCC1 with a thiol.,O=[SH]c1ccccc1CC[NH2+]CCC1=CCCC1
DelComponent,Modify the molecule halo by removing a CN(C)S(=O)(=O)N(C)Cc1cc(Br)cs1.,CN(C)S(=O)(=O)N(C)Cc1cccs1
LogP,Please modify the molecule CC1c2ccccc2CCC1(C)C[NH+]1CCN(CCOC(c2ccccc2)c2ccccc2)CC1 to decrease its LogP value.,CC1c2ccccc2CCC1(C)C[NH+]1CCN(CCOCc2ccccc2)CC1
MR,Modify the molecule COc1nn(CCC(=O)N2CCN(S(=O)(=O)c3cnn(C)c3C)CC2)cc1[N+](=O)[O-] to decrease its MR value.,COc1nn(CC2CCN(S(=O)(=O)c3cnn(C)c3C)C2)cc1[N+](=O)[O-]
QED,Optimize the molecule Fc1ccc(C2=Nn3c(nnc3-c3ccc(Cl)c(Cl)c3)SC2)cc1 to have a higher QED value.,Fc1ccc(C2=Nn3c(nnc3-c3ccc(Cl)cc3)SC2)cc1
AtomNum,"Please generate a molecule consisting 17 carbon atoms, 1 oxygen atom, 2 nitrogen atoms, and 1 chlorine atom.",Cc1cc(C[NH+]2CC(CCl)OCC2C)c2ccccc2n1
BondNum,"The molecule is composed of 11 single bonds, 2 double bonds, 5 rotatable bonds, and 6 aromatic bonds.",CON=C(CNC(=O)C1CC1)c1ccc(Cl)cc1
FunctionalGroup,"The molecule consists of 1 benzene ring group, 2 amide groups, and 3 halo groups.",CC([NH2+]C1CCC(=O)NC1=O)c1ccc(C(F)(F)F)cc1
AddComponent,Add a benzene ring to the molecule O=C(Nc1c[nH]c2ncc(Br)cc12)Oc1cnn(Cc2ccccc2F)c1.,O=C(Nc1c[nH]c2ncc(Br)cc12)Oc1cnn(Cc2c(F)cccc2-c2ccccc2)c1
SubComponent,Substitute a halo in the molecule Cc1cc(-c2ccc(F)cc2)ccc1N1CC[NH+](CC2(c3ccccc3)CC2)CC1 with a carboxyl.,Cc1cc(-c2ccc(C(=O)[OH])cc2)ccc1N1CC[NH+](CC2(c3ccccc3)CC2)CC1
DelComponent,Remove a CN1CCCc2cc(NC(=O)Cn3cc(N)nn3)ccc21 from the molecule amine.,CN1CCCc2cc(NC(=O)Cn3ccnn3)ccc21
LogP,Modify the molecule CSc1ccccc1NC(=O)C(NC(=S)Nc1ccccc1C(F)(F)F)c1ccccc1 to increase its LogP value.,CSc1ccccc1N(C(=S)Nc1ccccc1C(F)(F)F)c1ccccc1
MR,Please modify the molecule CCSC=C(C(=O)ONc1ccc(F)c(F)c1)C(=O)ONc1ccc(F)c(F)c1 to increase its MR value.,CC(SC=C(C(=O)ONc1ccc(F)c(F)c1)C(=O)ONc1ccc(F)c(F)c1)c1ccccc1
QED,Please optimize the molecule CCNc1nc(OC2CCCC2)c2ccsc2n1 to have a lower QED value.,CCc1nc(OC2CCCC2)c2ccsc2n1
AtomNum,"The molecule is composed of 14 carbon atoms, 2 oxygen atoms, 3 nitrogen atoms, and 2 sulfur atoms.",CCN(C(=O)CS(=O)c1nc2ccc(N)cc2s1)C1CC1
BondNum,"Please generate a molecule composed of 15 single bonds, 4 rotatable bonds, and 6 aromatic bonds.",C[NH2+]C(C)c1ccc(N2CC(CO)OCC2C)cc1Br
FunctionalGroup,"The molecule has 2 benzene ring groups, 1 hydroxyl group, 1 ester group, and 1 amide group.",CCCOC(=O)c1cccc(N2C(=O)C(O)=C(c3cccc(OCC)c3)C2c2ccncc2)c1
AddComponent,Please add a carboxyl to the molecule CC1(C)C(C(=O)C2C(c3ccccc3)C2(C)C)C1c1ccccc1.,CC1(C)C(C(=O)C2C(c3ccc(C(=O)O)cc3)C2(C)C)C1c1ccccc1
SubComponent,Please substitute a hydroxyl in the molecule Nc1nc(=O)c2nc(CNc3ccc(C(=O)NCC(=O)NCC(=O)On4c(O)ccc4O)cc3)cnc2[nH]1 with a nitro.,Nc1nc(=O)c2nc(CNc3ccc(C(=O)NCC(=O)NCC(=O)On4c(O)ccc4NO)cc3)cnc2[nH]1
DelComponent,Modify the molecule halo by removing a COCCNC(=O)c1c(F)cc(OCc2ccc(F)cc2)cc1F.,COCCNC(=O)c1ccc(OCc2ccc(F)cc2)cc1F
LogP,Optimize the molecule COc1ccc(NCc2cc(Br)ccc2O)cc1O to have a lower LogP value.,CC(=O)c1ccc(O)c(CNc2ccc(OC)c(O)c2)c1
MR,Optimize the molecule Cc1ccc(N(CCC(=O)Nc2ccc(C#N)cc2)C(C)C)cc1 to have a higher MR value.,Cc1ccc(N(CCC(=O)Nc2ccc(NO)cc2)C(C)C)cc1
QED,Please optimize the molecule Fc1ccc2c(c1)CCC2Nc1cccc2[nH]ncc12 to have a higher QED value.,N#Cc1ccc2c(c1)CCC2Nc1cccc2[nH]ncc12
AtomNum,"Please generate a molecule consisting 21 carbon atoms, 3 oxygen atoms, 3 nitrogen atoms, and 2 chlorine atoms.",CC[NH+](CC)CCNC(=O)c1ccc(NC(=O)COc2ccc(Cl)cc2)c(Cl)c1
BondNum,"The molecule contains 14 single bonds, 1 double bond, 5 rotatable bonds, and 6 aromatic bonds.",CCNC(C)[NH+]1CCN(c2ccc([N+](=O)[O-])cc2)CC1
FunctionalGroup,"Please generate a molecule composed of 2 benzene ring groups, 1 amide group, 6 halo groups, 1 thioether group, and 1 sulfide group.",Cc1cc(NC(=O)NC(=O)c2c(F)cccc2F)ccc1SC(F)(F)C(F)F
AddComponent,Modify the molecule Cc1ccc(S(=O)(=O)[O-])c([Si](C)(C)C(C)C)c1 by adding a benzene ring.,Cc1ccc(S(=O)(=O)[O-])c([Si](C)(C)C(C)Cc2ccccc2)c1
SubComponent,Modify the molecule hydroxyl by substituting a CCCn1cncc1C(CO)Nc1cccc(Cl)c1 with a aldehyde.,CC(=O)CC(Nc1cccc(Cl)c1)c1cncn1CCC
DelComponent,Modify the molecule halo by removing a Cc1nc(C(N)=O)cc(F)c1C(F)F.,Cc1nc(C(N)=O)cc(F)c1CF
LogP,Optimize the molecule CCOc1ccc(N(CC(=O)NN=Cc2ccc(-c3ccc(Cl)cc3Cl)o2)S(=O)(=O)c2ccccc2)cc1 to have a lower LogP value.,CCOc1ccc(N(CC(=O)NN=Cc2ccc(-c3ccc(C#N)cc3Cl)o2)S(=O)(=O)c2ccccc2)cc1
MR,Modify the molecule COc1cc(C)c(SN2CCCCC2COCC(=O)NCc2ccccc2Oc2cnccn2)c(C)c1 to have a lower MR value.,COCCSN1CCCCC1COCC(=O)NCc1ccccc1Oc1cnccn1
QED,Please modify the molecule Cc1ccccc1CNC(=O)c1ccc(Nc2ccccc2C)nn1 to increase its QED value.,CCNC(=O)c1ccc(Nc2ccccc2C)nn1
AtomNum,"Please generate a molecule consisting 19 carbon atoms, 3 oxygen atoms, and 3 nitrogen atoms.",CCOc1ccc(C(=O)Nc2ccccc2N2CCNC(=O)C2)cc1
BondNum,"Please generate a molecule consisting 7 single bonds, 1 double bond, 3 rotatable bonds, and 12 aromatic bonds.",CNc1ncnc(N)c1C(=N)c1ccc(Cl)c(O)c1
FunctionalGroup,"The molecule contains 1 amine group, and 3 halo groups.",Cc1nc(C(F)(F)F)nc(NCc2ccco2)c1C(=O)[O-]
AddComponent,Modify the molecule CC(=O)C(CSC(c1ccccc1)(c1ccccc1)c1ccccc1)NC(=O)c1ccc(CC(=O)OCC2c3ccccc3-c3ccccc32)cc1 by adding a amine.,CC(=O)C(CSC(c1ccccc1)(c1ccccc1)c1ccc(N)cc1)NC(=O)c1ccc(CC(=O)OCC2c3ccccc3-c3ccccc32)cc1
SubComponent,Substitute a halo in the molecule CC(C)CNc1ccc(C(=O)Nc2cc(Cl)ccc2Cl)cn1 with a aldehyde.,CC(=O)c1ccc(Cl)c(NC(=O)c2ccc(NCC(C)C)nc2)c1
DelComponent,Modify the molecule CC(=O)Nc1ccc(N2C(=O)C(O)=C(c3ccc(Cl)cc3)C2c2cccc(OC(C)C)c2)cc1 by removing a hydroxyl.,CC(=O)Nc1ccc(N2C(=O)C=C(c3ccc(Cl)cc3)C2c2cccc(OC(C)C)c2)cc1
LogP,Optimize the molecule CC(C)(C)OC(=O)[NH+]=C(N)c1cc2c(O)cccc2s1 to have a higher LogP value.,CC(=O)c1cccc2sc(C(N)=[NH+]C(=O)OC(C)(C)C)cc12
MR,Please modify the molecule Cc1cc(Cl)c(Cl)cc1S(=O)(=O)Nc1cccc(Cl)c1C to decrease its MR value.,Cc1cc(Cl)c(Cl)cc1S(=O)(=O)c1cccc(Cl)c1C
QED,Modify the molecule Cc1cc(CNc2cc(Cl)c([O-])c(Cl)c2)ccc1Br to have a lower QED value.,Cc1cc(Cc2cc(Cl)c([O-])c(Cl)c2)ccc1Br
AtomNum,"Please generate a molecule composed of 17 carbon atoms, 3 oxygen atoms, 3 nitrogen atoms, and 2 fluorine atoms.",CN(C)C(=O)N1CC2C[NH+](Cc3ccc(F)c(F)c3)CC2(C(=O)[O-])C1
BondNum,"There is a molecule consisting of 20 single bonds, 1 double bond, and 6 rotatable bonds.",CCC(C)COP(=O)([O-])OC1C(O)C(C)C(C)C(C)C1O
FunctionalGroup,There is a molecule with and 1 halo group.,Cc1nc(C2CN(c3ccc(F)cn3)CCO2)n[nH]1
AddComponent,Modify the molecule O=C(NC1CCN(c2ccccc2)C(F)C1C12CCC(CC(O)C1)N2C(=O)[O-])C1CCC1 by adding a nitrile.,N#Cc1ccc(N2CCC(NC(=O)C3CCC3)C(C34CCC(CC(O)C3)N4C(=O)[O-])C2F)cc1
SubComponent,Substitute a Cc1ccc(-c2ccc(C(F)(F)F)cc2N)cn1 in the molecule halo with a nitro.,Cc1ccc(-c2ccc(C(F)(F)NO)cc2N)cn1
DelComponent,Please remove a CC(C)N(C)S(=O)(=O)NCCCCC(=O)[O-] from the molecule amine.,CC(C)N(C)S(=O)(=O)CCCCC(=O)[O-]
LogP,Modify the molecule NCC1(C(F)(F)F)CCOC1 to increase its LogP value.,NCC1(C(F)(F)F)CCOC1c1ccccc1
MR,Please modify the molecule CC(C)n1ccc(Cc2nc(=O)c3ccc(F)cc3[nH]2)n1 to increase its MR value.,CC(C)n1ccc(Cc2nc(=O)c3ccccc3[nH]2)n1
QED,Modify the molecule COc1ccc(CC(=O)N2CCCC(c3cc4nc(C)c(C)c(=O)n4[nH]3)C2)cc1OC to increase its QED value.,COc1ccc(C2CCCC2c2cc3nc(C)c(C)c(=O)n3[nH]2)cc1OC
AtomNum,"Please generate a molecule with 39 carbon atoms, 5 oxygen atoms, 6 nitrogen atoms, 1 fluorine atom, and 1 chlorine atom.",CC(C)C(NC(=O)C1CC[NH+](CC(=O)Nc2cc(C(=O)NC3CCCC3)ccc2Cl)CC1)C(=O)Nc1ccc(C(=O)NCc2ccc(F)cc2)cc1
BondNum,"Please generate a molecule consisting 13 single bonds, 2 double bonds, 6 rotatable bonds, and 18 aromatic bonds.",COc1ccc(-c2cccc(CF)c2)c2c1C(=O)C(Cc1ccc(C(=O)[O-])cc1)C2
FunctionalGroup,"The molecule contains 1 amine group, and 1 nitro group.",NN=C1CCCc2c1[nH]c1ccc([N+](=O)[O-])cc21
AddComponent,Add a carboxyl to the molecule C#CCN(C)C(=O)CC1CSCC[NH2+]1.,C#CC(C(=O)O)N(C)C(=O)CC1CSCC[NH2+]1
SubComponent,Modify the molecule hydroxyl by substituting a COc1ccccc1S(=O)(=O)N1CCC(O)C(C)C1 with a aldehyde.,CC(=O)C1CCN(S(=O)(=O)c2ccccc2OC)CC1C
DelComponent,Remove a CCCNC(=O)c1ccccc1NC(=O)C[NH+]1CCC(C(=O)N2CCCC2C(=O)Nc2cccc(NC(=O)c3ccccc3Cl)c2)CC1 from the molecule benzene ring.,CCCNC(=O)c1ccccc1NC(=O)C[NH+]1CCC(C(=O)N2CCCC2C(=O)Nc2cccc(NC(=O)Cl)c2)CC1
LogP,Optimize the molecule CCNC(=O)c1c(C)sc2nc(Cc3cc(F)ccc3C3CC3)cc(=O)n12 to have a lower LogP value.,CCNC(=O)c1c(C)sc2nc(Cc3ccccc3C3CC3)cc(=O)n12
MR,Please modify the molecule C=CC=CCC=CCOc1coc(COC(=O)c2ccccc2)cc1=O to increase its MR value.,C=CC=CCC=CCOc1coc(COC(=O)c2ccccc2)c(-c2ccccc2)c1=O
QED,Please modify the molecule COc1cccc(OC(=O)C2(C(F)(F)F)CO2)c1 to decrease its QED value.,COOC(=O)C1(C(F)(F)F)CO1
AtomNum,"There is a molecule with 32 carbon atoms, 6 oxygen atoms, 3 nitrogen atoms, 1 sulfur atom, and 2 chlorine atoms.",CC(C(=O)NC1CCCCC1)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1ccc2c(c1)OCCO2)S(=O)(=O)c1ccccc1
BondNum,"Please generate a molecule consisting 9 single bonds, 6 rotatable bonds, and 17 aromatic bonds.",CCCCOc1cccc(-c2c(N)sc(-c3ccccc3)c2O)c1
FunctionalGroup,"Please generate a molecule composed of 1 benzene ring group, 1 amide group, 1 amine group, and 1 sulfone group.",Cc1ccc(S(=O)(=O)NCc2ccco2)cc1C(=O)NCCc1ccc2c(c1)OCO2
AddComponent,Add a benzene ring to the molecule CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C3CC(C)(CN(C)C(=O)[O-])CCC3(C)CCC12C.,CC1=C(O)C(=O)C=C2C1=CC=C1C2(C)CCC2(C)C1(C)CCC1(C)CCC(C)(CN(C)C(=O)[O-])CC12c1ccccc1
SubComponent,Please substitute a halo in the molecule Brc1ccccc1-c1nnc(-c2ccc(Br)c(Br)c2Br)s1 with a aldehyde.,CC(=O)c1ccccc1-c1nnc(-c2ccc(Br)c(Br)c2Br)s1
DelComponent,Remove a benzene ring from the molecule COC(=O)CNC(=O)C(c1ccc(C)cc1C)N(C(=O)C(C)NC(=O)OC(C)(C)C)C1CC1.,CCC(C(=O)NCC(=O)OC)N(C(=O)C(C)NC(=O)OC(C)(C)C)C1CC1
LogP,Please modify the molecule O=C(NCC(=O)N1CCC(C[NH+]2CCOCC2)CC1)C1CCCCC1 to increase its LogP value.,O=C(C1CCCCC1)N1CCC(C[NH+]2CCOCC2)CC1
MR,Please optimize the molecule COc1cc(-c2oc3ccccc3c(=O)c2OC(=O)C(C)(C)C)cc(Br)c1OC to have a lower MR value.,COc1ccc(-c2oc3ccccc3c(=O)c2OC(=O)C(C)(C)C)cc1OC
QED,Modify the molecule COC(=O)C(=CNc1ccccc1N)NC(=O)c1ccccc1 to increase its QED value.,COC(=O)C(=CNc1ccccc1)NC(=O)c1ccccc1
AtomNum,"There is a molecule composed of 35 carbon atoms, 5 oxygen atoms, 3 nitrogen atoms, 2 sulfur atoms, and 2 chlorine atoms.",CCNC(=O)C(Cc1ccccc1)N(Cc1ccc(Cl)c(Cl)c1)C(=O)CN(c1ccc(OCC)cc1)S(=O)(=O)c1ccc(SC)cc1
BondNum,"There is a molecule with 16 single bonds, 2 double bonds, 3 rotatable bonds, and 6 aromatic bonds.",O=C(Nc1ccc(Br)cn1)C1CCC[NH+](C2CCOC2=O)C1
FunctionalGroup,The molecule contains and 1 benzene ring group.,COC(CCc1ccccc1)(OC)C(C)[NH3+]
AddComponent,Modify the molecule Fc1ccc(CC2[NH2+]CCO2)cc1 by adding a amine.,Nc1cc(CC2[NH2+]CCO2)ccc1F
SubComponent,Please substitute a CCOC(=O)CSc1nnc(NC(=O)c2nn(-c3ccccc3C(F)(F)F)c(C)cc2=O)s1 in the molecule halo with a carboxyl.,CCOC(=O)CSc1nnc(NC(=O)c2nn(-c3ccccc3C(F)(F)C(=O)[OH])c(C)cc2=O)s1
DelComponent,Remove a amide from the molecule O=C(CC1CC[NH+](C2CC2)CC1)NC1CCCCC1.,C1CCC(C2CC[NH+](C3CC3)CC2)CC1
LogP,Please modify the molecule CCNC(NCC(C)Oc1cccc(OC)c1)=[NH+]CC(=O)OC(C)(C)C to decrease its LogP value.,CCNC(NC(C(=O)O)C(C)Oc1cccc(OC)c1)=[NH+]CC(=O)OC(C)(C)C
MR,Please modify the molecule COc1ccc2c(c1)c(CC(=O)Nc1ccc3[nH]c(=O)[nH]c3c1)c(C)n2C(=O)c1ccc(Cl)cc1 to decrease its MR value.,COc1ccc2c(c1)c(CC(=O)Nc1ccc3[nH]c(=O)[nH]c3c1)c(C)n2C(=O)Cl
QED,Optimize the molecule CN(C)c1ccc(C(NN)c2c(Br)nnn2C)cc1 to have a lower QED value.,CN(C)c1ccc(C(NN)c2c(Br)nnn2C)c(-c2ccccc2)c1
AtomNum,"The molecule is composed of 24 carbon atoms, 2 oxygen atoms, 5 nitrogen atoms, and 2 sulfur atoms.",CCC(NC(=O)CSCc1nc2sc3c(c2c(=O)[nH]1)CCC3)c1[nH]c(-c2ccccc2)c[nH+]1
BondNum,"There is a molecule consisting of 21 single bonds, 2 double bonds, and 17 rotatable bonds.",CCCCCC(O)CCCCCCCCCCC(CC)S(=O)(=O)[O-]
FunctionalGroup,"There is a molecule with 2 benzene ring groups, 2 amine groups, and 1 halo group.",CC(C)(C)n1nnc(-c2cccc(CNc3n[nH]c4ncnc(Nc5cccc(Cl)c5)c34)c2)n1
AddComponent,Add a carboxyl to the molecule CC(=O)N1CCc2cc(NC(=O)c3cn(-c4ccc(F)cc4)nc3-c3ccc(C)cc3)ccc21.,CC(=O)N1CCc2cc(NC(=O)c3cn(-c4ccc(F)cc4)nc3-c3ccc(C)c(C(=O)O)c3)ccc21
SubComponent,Substitute a CC(O)C(C)Oc1cc(NS(=O)(=O)N2CC[NH2+]CC2C)nc(SCc2cccc(F)c2F)n1 in the molecule halo with a aldehyde.,CC(=O)c1cccc(CSc2nc(NS(=O)(=O)N3CC[NH2+]CC3C)cc(OC(C)C(C)O)n2)c1F
DelComponent,Remove a O=C(Cl)c1ccc2c(Cl)c3c(nc2c1)CCCC3 from the molecule halo.,O=C(Cl)c1ccc2cc3c(nc2c1)CCCC3
LogP,Modify the molecule C[NH2+]C(C)(C(=O)[O-])c1ccc(C(F)(F)F)cc1 to decrease its LogP value.,C[NH2+]C(C)(C(=O)[O-])c1ccc(C(F)F)cc1
MR,Please modify the molecule NC(=O)C([NH3+])CSc1c(Cl)cccc1Cl to decrease its MR value.,NC(=O)C([NH3+])C[SH](Cl)Cl
QED,Modify the molecule [NH3+]Cc1ccccc1OCCC(F)F to decrease its QED value.,[NH3+]COCCC(F)F
AtomNum,"There is a molecule consisting of 15 carbon atoms, 1 oxygen atom, and 1 nitrogen atom.",Cc1cccc(C(=O)C#C[NH+]2CCCCC2)c1
BondNum,"There is a molecule with 20 single bonds, 2 double bonds, and 5 rotatable bonds.",CCNC(=[NH+]CCC(C)(C)C)N1CCC(C(=O)OCC)CC1
FunctionalGroup,There is a molecule consisting of and 1 benzene ring group.,C=CC1C[N+]2(Cc3cccc4ccccc34)CCC1CC2C(OCc1ccccc1)c1ccnc2ccccc12
AddComponent,Please add a aldehyde to the molecule C[NH2+]C(c1ccc(Br)cc1)c1ccc(Br)cc1C(F)(F)F.,C[NH2+]C(c1ccc(Br)cc1)c1c(CC=O)cc(Br)cc1C(F)(F)F
SubComponent,Modify the molecule hydroxyl by substituting a O=C(NCC[NH+]1CCCOCC1)N1CCCC(O)C1 with a nitro.,ONC1CCCN(C(=O)NCC[NH+]2CCCOCC2)C1
DelComponent,Modify the molecule hydroxyl by removing a COc1cc(N2CC(O)CC2C[NH+](C)C)cc[nH+]1.,COc1cc(N2CCCC2C[NH+](C)C)cc[nH+]1
LogP,Modify the molecule CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO to increase its LogP value.,CCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCC
MR,Please optimize the molecule CC(C)Oc1cccc(SC(C)Cc2ccc(-c3cc(=O)[nH]o3)cc2)c1 to have a lower MR value.,CC(C)Oc1cccc(SC(C)Cc2cc(=O)[nH]o2)c1
QED,Modify the molecule COC(=O)c1c(NC(=O)c2ccc(OC)c(OC)c2)sc(C(=O)N(C)C)c1C to decrease its QED value.,COC(=O)c1c(NC(=O)c2ccc(OC)c(OC)c2)sc(C(=O)N(C)Cc2ccccc2)c1C
AtomNum,"The molecule contains 17 carbon atoms, 3 oxygen atoms, 2 nitrogen atoms, and 1 sulfur atom.",O=C(c1coc(C2CCOCC2)n1)N1CCCC1c1cccs1
BondNum,"Please generate a molecule consisting 10 single bonds, 7 rotatable bonds, and 11 aromatic bonds.",CCOc1cc(C)ccc1NCc1ccc(CSC)o1
FunctionalGroup,"Please generate a molecule with 3 benzene ring groups, 2 amide groups, and 1 halo group.",Cc1cc(C)cc(N2C(=O)C(=Cc3cc(C)n(-c4ccc(OCc5ccc(F)cc5)cc4)c3C)C(=O)NC2=S)c1
AddComponent,Please add a hydroxyl to the molecule CC(=O)c1ccc(N2CCN(c3nc(C)c4ccc(=O)n(-c5ccc(C(=O)NCc6ccc(C(F)(F)F)cc6)cc5)c4n3)CC2)cc1.,Cc1nc(N2CCN(c3ccc(C(=O)CO)cc3)CC2)nc2c1ccc(=O)n2-c1ccc(C(=O)NCc2ccc(C(F)(F)F)cc2)cc1
SubComponent,Substitute a COC1COCCC1[NH2+]Cc1cc2cc(Cl)c3c(c2o1)C1(CCCCC1)NC(=O)N3 in the molecule halo with a nitro.,COC1COCCC1[NH2+]Cc1cc2cc(NO)c3c(c2o1)C1(CCCCC1)NC(=O)N3
DelComponent,Please remove a halo from the molecule FC1Cc2cnc(Cl)cc2-c2cc3ccccc3n21.,FC1Cc2cnccc2-c2cc3ccccc3n21
LogP,Please optimize the molecule Oc1ccc(-c2nc(-c3ccccc3)c(-c3ccc(F)cc3)[nH]2)cc1O to have a lower LogP value.,Oc1ccc(-c2nc(-c3ccccc3)c(F)[nH]2)cc1O
MR,Optimize the molecule Cc1c(NC(=O)c2c(C(F)(F)F)nn(C)c2Cl)cccc1OC(C)C to have a higher MR value.,Cc1c(NC(=O)c2c(C(F)(F)F)nn(C)c2Cl)ccc(C(=O)O)c1OC(C)C
QED,Modify the molecule CC1(CN2CCCCC2=O)CCC[NH2+]C1 to decrease its QED value.,CC1(CC2CC2)CCC[NH2+]C1
